Day	Time	Location	Class	Trainer	Notes
Friday	5:45 PM	Kwality House, Kemps Corner	Studio Barre 57	Vivaran Dhasmana	
Friday	6:00 PM	Supreme HQ, Bandra	Studio PowerCycle	Cauveri Vikrant	
Friday	6:00 PM	Kwality House, Kemps Corner	Studio Strength Lab (Full Body)	Anisha Shah	
Friday	6:00 PM	Supreme HQ, Bandra	Studio Barre 57	Sovena	
Friday	7:00 PM	Kwality House, Kemps Corner	Studio Cardio Barre Plus	Vivaran Dhasmana	
Friday	7:15 PM	Kwality House, Kemps Corner	Studio PowerCycle Express	Anisha Shah	
Friday	7:15 PM	Supreme HQ, Bandra	Studio Cardio Barre	Sovena	
Friday	7:30 PM	Supreme HQ, Bandra	Studio PowerCycle Express	Cauveri Vikrant	
Saturday	8:00 AM	Kwality House, Kemps Corner	Studio Cardio Barre Express	Cauveri Vikrant	
Saturday	9:00 AM	Supreme HQ, Bandra	Studio Barre 57	Atulan Purohit	
Saturday	9:00 AM	Kwality House, Kemps Corner	Studio Strength Lab (Push)	Reshma Sharma	
Saturday	9:30 AM	Supreme HQ, Bandra	Studio PowerCycle	Rohan Dahima	
Saturday	10:00 AM	Kwality House, Kemps Corner	Studio PowerCycle	Cauveri Vikrant	
Saturday	10:15 AM	Supreme HQ, Bandra	Studio FIT	Atulan Purohit	
Saturday	10:15 AM	Kwality House, Kemps Corner	Studio Mat 57	Pranjali Jain	
Saturday	10:15 AM	Supreme HQ, Bandra	Studio Cardio Barre	Karan Bhatia	
Saturday	10:15 AM	Kwality House, Kemps Corner	Studio Barre 57	Reshma Sharma	
Saturday	11:00 AM	Supreme HQ, Bandra	Studio PowerCycle	Rohan Dahima	
Saturday	11:30 AM	Kwality House, Kemps Corner	Studio PowerCycle	Cauveri Vikrant	
Saturday	11:30 AM	Kwality House, Kemps Corner	Studio Barre 57	Pranjali Jain	
Saturday	11:30 AM	Kwality House, Kemps Corner	Studio Strength Lab (Push)	Reshma Sharma	
Saturday	11:30 AM	Supreme HQ, Bandra	Studio Barre 57	Atulan Purohit	
Saturday	4:30 PM	Kwality House, Kemps Corner	Studio Cardio Barre Express	Simran Dutt	
Saturday	5:00 PM	Supreme HQ, Bandra	Studio PowerCycle	Bret Saldanha	
Saturday	5:00 PM	Kwality House, Kemps Corner	Studio Strength Lab (Full Body)	Richard D'Costa	
Saturday	5:30 PM	Kwality House, Kemps Corner	Studio Barre 57	Simran Dutt	
Saturday	6:15 PM	Supreme HQ, Bandra	Studio Cardio Barre	Simonelle De Vitre	
Saturday	6:30 PM	Kwality House, Kemps Corner	Studio PowerCycle	Richard D'Costa	
Sunday	10:00 AM	Supreme HQ, Bandra	Studio PowerCycle	Reshma Sharma	
Sunday	10:00 AM	Kwality House, Kemps Corner	Studio Strength Lab (Full Body)	Rohan Dahima	
Sunday	10:15 AM	Supreme HQ, Bandra	Studio Barre 57	Karan Bhatia	
Sunday	10:15 AM	Kwality House, Kemps Corner	Studio Cardio Barre	Cauveri Vikrant	
Sunday	11:30 AM	Kwality House, Kemps Corner	Studio PowerCycle	Cauveri Vikrant	
Sunday	11:30 AM	Kwality House, Kemps Corner	Studio Barre 57	Rohan Dahima	
Sunday	11:30 AM	Supreme HQ, Bandra	Studio Cardio Barre	Karan Bhatia	
Sunday	11:30 AM	Supreme HQ, Bandra	Studio PowerCycle Express	Reshma Sharma	
Sunday	4:00 PM	Kwality House, Kemps Corner	Studio Barre 57	Simran Dutt	
Sunday	5:00 PM	Kwality House, Kemps Corner	Studio PowerCycle	Anmol Sharma	
Sunday	5:00 PM	Supreme HQ, Bandra	Studio Barre 57	Richard D'Costa	
Sunday	5:15 PM	Kwality House, Kemps Corner	Studio Mat 57	Simran Dutt	
Sunday	6:30 PM	Supreme HQ, Bandra	Studio PowerCycle	Richard D'Costa	
Sunday	10 :00 AM	Kwality House, Kemps Corner	Studio PowerCycle	Raunak Khemuka
